match_id,group_id,round_in_group,team_a,team_b,venue_id,slot_id,city,country,reference_date,reference_kickoff_time,local_datetime,utc_datetime,required_security_level,expected_attendance,expected_tv_viewers,ticket_revenue_usd,broadcast_value_usd,travel_cost_index,fairness_penalty,risk_index,total_objective_value
GA01,A,1,Mexico,South Africa,V10,S044,Monterrey,Mexico,2026-06-14,21:00,2026-06-14 21:00,2026-06-15 01:00,2,38058,154842944,12387435520.0,2994275.43,24.5,0.666667,0.428021,0.318937
GA02,A,1,South Korea,Czechia,V16,S051,Vancouver,Canada,2026-06-15,12:00,2026-06-15 12:00,2026-06-15 16:00,3,45103,164879632,13190370560.0,3433618.34,25.6,0.666667,0.526259,
GA03,A,2,Mexico,South Korea,V10,S131,Monterrey,Mexico,2026-06-23,12:00,2026-06-23 12:00,2026-06-23 16:00,3,44008,172094064,16348936080.0,4522632.0,6.2,0.666667,0.525893,
GA04,A,2,South Africa,Czechia,V04,S101,Guadalajara,Mexico,2026-06-20,12:00,2026-06-20 12:00,2026-06-20 16:00,3,46116,160561024,15253297280.0,3468118.12,9.1,0.666667,0.55571,
GA05,A,3,Mexico,Czechia,V04,S204,Guadalajara,Mexico,2026-06-30,21:00,2026-06-30 21:00,2026-07-01 01:00,2,37158,163100576,17941063360.0,6250666.47,2.4,0.666667,0.432161,
GA06,A,3,South Africa,South Korea,V04,S181,Guadalajara,Mexico,2026-06-28,12:00,2026-06-28 12:00,2026-06-28 16:00,2,41308,162354416,17858985760.0,6129203.91,2.4,0.666667,0.489337,
GB01,B,1,Canada,Bosnia and Herzegovina,V09,S051,Miami,United States,2026-06-15,12:00,2026-06-15 12:00,2026-06-15 16:00,3,47891,167713792,13417103360.0,3492639.72,18.3,0.666667,0.553112,
GB02,B,1,Qatar,Switzerland,V15,S051,Toronto,Canada,2026-06-15,12:00,2026-06-15 12:00,2026-06-15 16:00,2,41648,161479296,12918343680.0,3362806.34,26.8,0.666667,0.519847,
GB03,B,2,Canada,Qatar,V03,S103,Dallas,United States,2026-06-20,18:00,2026-06-20 18:00,2026-06-20 22:00,3,47317,164659248,15642628560.0,2489647.83,8.4,0.666667,0.448657,
GB04,B,2,Bosnia and Herzegovina,Switzerland,V01,S121,Atlanta,United States,2026-06-22,12:00,2026-06-22 12:00,2026-06-22 16:00,2,33856,153308144,14564273680.0,3863365.23,6.1,0.666667,0.335315,
GB05,B,3,Canada,Switzerland,V15,S194,Toronto,Canada,2026-06-29,21:00,2026-06-29 21:00,2026-06-30 01:00,3,45758,194552640,21400790400.0,7010898.94,7.5,0.666667,0.591033,
GB06,B,3,Bosnia and Herzegovina,Qatar,V10,S182,Monterrey,Mexico,2026-06-28,15:00,2026-06-28 15:00,2026-06-28 19:00,3,46989,162503312,17875364320.0,3532171.99,6.7,0.666667,0.552733,
GC01,C,1,Brazil,Morocco,V07,S054,Los Angeles,United States,2026-06-15,21:00,2026-06-15 21:00,2026-06-16 01:00,4,50404,185843760,14867500800.0,3649042.23,28.9,0.666667,0.535332,
