match_id,group_id,team_a,team_b,updated_p_team_a_advance,updated_p_team_b_advance,updated_expected_attendance,updated_expected_tv_viewers,stakeless_risk,collusion_risk,updated_attractiveness,recommended_broadcast_priority,recommended_security_level,recommended_transport_level,recommended_ticket_adjustment,updated_ticket_revenue_usd,updated_broadcast_value_usd,resource_cost_index,risk_exposure_index,static_net_value,dynamic_net_value,improvement_rate
GA05,A,Mexico,Czechia,1.0,0.909125,37044,125059679,0.834767,1.0,61.3923,3,3,1,0.15,4158880.41,8011823.26,14.0,0.489964,0.095912,0.101243,0.005844
GA06,A,South Africa,South Korea,0.090875,0.0,43454,132702698,0.834767,0.0,67.3726,3,1,3,0.15,5220047.48,8501465.63,14.0,0.411964,0.229724,0.229724,0.005844
GB05,B,Canada,Switzerland,0.20095,1.0,51753,173164220,0.678862,0.640694,81.0907,3,1,3,0.15,6216947.07,11093592.6,14.0,0.62172,0.460637,0.460637,0.005844
GB06,B,Bosnia and Herzegovina,Qatar,0.52285,0.2762,57091,157185836,0.101217,0.315517,89.0411,3,1,3,0.15,6858159.67,10069953.37,14.0,0.27614,0.491744,0.491744,0.005844
GC05,C,Brazil,Scotland,0.9958,0.01815,38355,149485861,0.955994,0.5,64.4347,3,2,2,0.15,4435279.01,9576662.19,13.0,0.539566,0.220756,0.222116,0.005844
GC06,C,Morocco,Haiti,0.9186,0.06745,40392,151770654,0.724651,0.453125,66.6897,3,1,2,0.15,4670846.34,9723035.21,11.0,0.510464,0.265048,0.265048,0.005844
GD05,D,United States,Turkey,0.90305,0.749575,54104,165600002,0.449474,0.83063,82.5759,3,1,3,0.15,6499378.56,10608998.55,14.0,0.628863,0.454253,0.454323,0.005844
GD06,D,Paraguay,Australia,0.0,0.347375,56652,158640882,0.546589,0.0,89.0134,3,1,3,0.15,6805469.55,10163169.44,14.0,0.342908,0.481947,0.486533,0.005844
GE05,E,Germany,Ecuador,0.769225,0.276125,57385,189392629,0.245204,0.52784,95.6709,3,1,3,0.15,6893524.7,12133249.41,14.0,0.425199,0.609211,0.612497,0.005844
GE06,E,Curacao,Ivory Coast,0.0,0.95465,37543,125283650,0.913413,0.5,59.7288,3,1,2,0.15,4341317.27,8026171.77,11.0,0.615947,0.115894,0.117429,0.005844
GF05,F,Netherlands,Tunisia,1.0,0.01385,33864,132231494,0.972684,0.5,60.4567,3,1,1,0.15,3801843.31,8471278.44,9.0,0.628039,0.110197,0.111088,0.005844
GF06,F,Japan,Sweden,0.6982,0.28795,62307,196832454,0.168497,0.494392,101.166,3,1,3,0.15,7484735.26,12609874.33,14.0,0.397989,0.686747,0.697084,0.005844
GG05,G,Belgium,New Zealand,1.0,0.270275,38289,138295959,0.605547,0.814341,58.2494,3,1,2,0.15,4427575.94,8859792.3,11.0,0.608243,0.174599,0.174599,0.005844
GG06,G,Egypt,Iran,0.661875,0.06785,54037,142488518,0.425914,0.43914,81.5619,2,1,3,0.15,6491281.2,8557860.39,10.0,0.461398,0.361233,0.363948,0.005844
GH05,H,Spain,Uruguay,0.983725,0.486775,63274,143830370,0.46833,0.765578,89.1209,2,2,2,0.15,7316815.99,8638452.01,9.0,0.543827,0.437721,0.439125,0.005844
GH06,H,Cape Verde,Saudi Arabia,0.002375,0.527125,49239,135139967,0.496733,0.232058,73.4658,3,1,3,0.15,5914971.58,8657606.83,14.0,0.389819,0.303083,0.303083,0.005844
GI05,I,France,Norway,0.89195,0.5429,47060,164516612,0.31093,0.92223,75.7736,2,1,3,0.15,5653195.54,9880867.7,10.0,0.573158,0.360973,0.360973,0.005844
GI06,I,Senegal,Iraq,0.56515,0.0,41364,142542750,0.508489,0.0,68.4281,2,1,2,0.15,4783212.86,8561117.54,7.0,0.272285,0.248508,0.248508,0.005844
GJ05,J,Argentina,Jordan,1.0,1.0,30943,124038168,1.0,1.0,51.38,2,3,1,0.15,3473888.7,7449732.37,10.0,0.516072,0.014427,0.019531,0.005844
GJ06,J,Algeria,Austria,0.0,0.0,42366,143194260,1.0,0.0,69.7,3,1,3,0.15,5089326.05,9173597.07,14.0,0.491758,0.254744,0.254744,0.005844
GK05,K,Portugal,Colombia,1.0,1.0,47455,142577148,1.0,1.0,78.58,3,3,3,0.15,5700684.76,9134062.41,19.0,0.567156,0.273587,0.277493,0.005844
GK06,K,DR Congo,Uzbekistan,0.0,0.0,42148,120416412,1.0,0.0,66.18,3,1,3,0.15,5063108.17,7714357.02,14.0,0.481688,0.16088,0.16088,0.005844
GL05,L,England,Panama,0.954,0.047975,35903,145469091,0.820885,0.500544,62.4891,3,1,1,0.15,4030768.11,9319331.86,9.0,0.550688,0.191012,0.191012,0.005844
GL06,L,Croatia,Ghana,0.998025,0.0,39838,127907673,0.996058,0.5,60.8676,2,2,2,0.15,4606704.24,7682134.86,9.0,0.558226,0.133313,0.134492,0.005844
