slot,time_str,price,load,pv_forecast
0,00:10:00,0.4248,3439.8466,0.0
1,00:20:00,0.4245,3437.9792,0.0
2,00:30:00,0.4269,3444.3031,0.0
3,00:40:00,0.4272,3454.4437,0.0
4,00:50:00,0.4271,3458.8273,0.0
5,01:00:00,0.4285,3459.8401,0.0
6,01:10:00,0.4311,3467.1582,0.0
7,01:20:00,0.4302,3467.9632,0.0
8,01:30:00,0.4279,3466.9683,0.0
9,01:40:00,0.4312,3482.4927,0.0
10,01:50:00,0.4333,3495.0841,0.0
11,02:00:00,0.4311,3498.4443,0.0
12,02:10:00,0.4293,3505.2295,0.0
13,02:20:00,0.4324,3512.6387,0.0
14,02:30:00,0.4367,3516.8685,0.0
15,02:40:00,0.4348,3517.9246,0.0
16,02:50:00,0.4335,3518.5518,0.0
17,03:00:00,0.4357,3521.0976,0.0
18,03:10:00,0.4374,3526.9261,0.0
19,03:20:00,0.4371,3537.2854,0.0
20,03:30:00,0.4356,3544.8808,0.0
21,03:40:00,0.4353,3541.2787,0.0
22,03:50:00,0.436,3546.3976,0.0
23,04:00:00,0.4378,3560.207,0.0
24,04:10:00,0.4401,3561.9581,0.0
25,04:20:00,0.4389,3556.7183,0.0
26,04:30:00,0.4364,3560.0272,0.0
27,04:40:00,0.4393,3580.654,0.5994
28,04:50:00,0.4422,3586.916,0.2345
29,05:00:00,0.4395,3571.2635,0.2885
30,05:10:00,0.4333,3562.3171,18.6781
31,05:20:00,0.4439,3591.3809,54.4698
32,05:30:00,0.4301,3579.7045,108.9718
33,05:40:00,0.3713,3486.119,184.1603
34,05:50:00,0.5708,3823.8994,277.0582
35,06:00:00,0.9099,4398.0727,388.5494
36,06:10:00,0.9368,4454.0123,521.2803
37,06:20:00,0.8758,4371.7919,672.7677
38,06:30:00,0.8759,4392.953,844.2261
39,06:40:00,0.8601,4384.5956,1039.6744
40,06:50:00,0.8442,4434.7757,1259.3375
41,07:00:00,0.8334,4523.4561,1508.6318
