date,month,dayofweek,is_weekend,season,load_sum_kWh,load_mean,load_max,load_min,load_std,load_peak_slot,load_valley_slot,load_peak_valley_diff,pv_sum_kWh,pv_mean,pv_max,pv_peak_slot,pv_gen_slots,pv_sunrise_slot,pv_sunset_slot,price_realtime_mean,price_realtime_max,price_realtime_min,price_realtime_std,price_peak_slot,price_valley_slot,price_peak_valley_diff,net_load_sum_kWh,net_load_max,net_load_min,net_load_positive_slots,forecast_mae,forecast_rmse,forecast_smape,theoretical_arbitrage_typical,shortage_kWh,curtailment_kWh
2025-01-01,1,2,False,Winter,127286.15238333333,5303.589682638889,7469.4947,3289.99,1331.156579584408,48,137,4179.5047,35250.98236666666,1468.7909319444443,5494.725,62,57,43,99,0.9265215277777776,1.5993,0.4038,0.3773184861927976,123,141,1.1955,92035.17001666666,6464.5067,981.3950000000004,144,104.48734468599034,151.55805951952357,19.38959667659895,627.9259259259259,92035.17001666666,0.0
2025-01-02,1,3,False,Winter,127657.07848333332,5319.044936805555,7519.6199,2919.12,1331.8531773607301,48,143,4600.4999,34771.83921666666,1448.8266340277778,5429.3182,70,57,43,99,0.9266027777777778,1.6098,0.3623,0.38302571714211303,123,134,1.2474999999999998,92885.23926666666,6311.075,1136.5820000000003,144,111.21117053140102,176.21506807038543,19.129303218984592,627.9259259259259,92885.23926666666,0.0
2025-01-03,1,4,False,Winter,81883.55671666666,3411.814863194444,4753.54,2453.7519,629.5524609139359,53,132,2299.7880999999998,36378.61535,1515.7756395833335,6232.0875,71,57,43,99,0.7386236111111111,1.4264,0.2766,0.33134950448722816,123,132,1.1498,45504.941366666666,3777.0475,-1962.9048999999995,114,106.87922608695659,150.46097655017286,19.631897493482352,627.9259259259259,50979.255849999994,0.0
2025-01-04,1,5,True,Winter,81891.73006666666,3412.1554194444443,4626.107,2360.95,610.9399947965205,60,137,2265.157,37126.1277,1546.9219875000001,6566.5273,72,57,43,99,0.7303166666666667,1.4459,0.3175,0.3318310571503374,123,10,1.1284,44765.602366666666,3820.5825,-2454.1386,116,137.18350555555548,198.2192624512582,21.956034073128276,627.9259259259259,50776.28808333333,0.0
2025-01-05,1,6,True,Winter,127674.11883333333,5319.754951388889,7474.9983,3237.2905,1341.545211725167,48,132,4237.7078,36638.408533333335,1526.6003555555556,6130.3875,71,57,43,99,0.9252319444444446,1.5747,0.391,0.37727285606503075,123,26,1.1837,91035.71029999999,6521.7748,266.1099999999997,144,90.08006956521741,121.13737557284036,23.06623883668588,627.9259259259259,91035.71029999999,0.0
2025-01-06,1,0,False,Winter,126826.69011666668,5284.445421527778,7428.53,3358.1757,1318.8185724588734,50,132,4070.3543,36194.20901666666,1508.092042361111,6048.5188,75,57,43,99,0.9289923611111112,1.6135,0.371,0.38205195928248953,123,1,1.2425,90632.48109999999,6337.9893,222.26519999999982,144,86.73083067632855,122.04812470859585,23.443412306972995,627.9259259259259,90632.48109999999,0.0
2025-01-07,1,1,False,Winter,126927.46214999999,5288.64425625,7373.5665,3294.7889,1354.8641629153992,48,136,4078.7776,34360.5612,1431.6900500000002,5426.8125,71,57,43,99,0.9234222222222223,1.5672,0.3841,0.37944672980730865,123,2,1.1831,92566.90095,6570.8076,1143.3874999999998,144,68.77436642512079,104.8582311759519,23.666534944268232,627.9259259259259,92566.90095,0.0
2025-01-08,1,2,False,Winter,126695.94394999999,5278.997664583333,7400.2529,3041.4847,1334.369179926293,48,132,4358.7682,37169.94263333333,1548.7476097222223,6346.5393,75,57,43,99,0.917373611111111,1.5968,0.3663,0.38492580122097547,123,135,1.2305,89526.00131666668,6527.8795,129.33419999999933,144,69.16114142156863,109.13225302626127,21.877988811709027,627.9259259259259,89526.00131666668,0.0
2025-01-09,1,3,False,Winter,127066.61819999998,5294.442424999999,7450.7115,2709.78,1345.1320277177153,51,143,4740.931500000001,35975.06208333333,1498.960920138889,6089.8125,71,57,43,99,0.9205923611111112,1.5726,0.307,0.3823779366604927,123,143,1.2656,91091.55611666667,6347.39,469.78700000000026,144,127.94055646766168,190.05443424165472,20.33254597598604,627.9259259259259,91091.55611666667,0.0
2025-01-10,1,4,False,Winter,81486.63841666667,3395.276600694445,4631.46,2352.9166,648.9681523117423,56,133,2278.5434,35995.971699999995,1499.8321541666667,5738.286,66,57,43,99,0.7293041666666666,1.4151,0.2836,0.33523867228454557,123,132,1.1315,45490.66671666667,3678.0862,-1533.8770999999997,117,154.29533557213932,228.8652475140468,22.187363380155453,627.9259259259259,50117.26973333332,0.0
2025-01-11,1,5,True,Winter,81610.19496666666,3400.4247902777774,4590.2659,2216.1871,604.899472416525,58,132,2374.0788000000002,36744.30835,1531.0128479166667,6055.9664,70,57,43,99,0.7342124999999999,1.4519,0.2503,0.3359193836178701,123,132,1.2016,44865.88661666666,3676.82,-1928.7524999999996,116,101.56858134328361,147.81726672177106,20.37821180950875,627.9259259259259,50476.30393333332,0.0
