date,slot,month,season,dayofweek,is_weekend,lead_time_hours,pv_actual_kW,pv_forecast_op_kW,error,abs_error,pct_error
2025-01-01,0,1,Winter,2,False,,0.0,0.0,0.0,0.0,
2025-01-01,1,1,Winter,2,False,,0.0,0.0,0.0,0.0,
2025-01-01,2,1,Winter,2,False,,0.0,0.0,0.0,0.0,
2025-01-01,3,1,Winter,2,False,,0.0,0.0,0.0,0.0,
2025-01-01,4,1,Winter,2,False,,0.0,0.0,0.0,0.0,
2025-01-01,5,1,Winter,2,False,1.0,0.0,0.0,0.0,0.0,
2025-01-01,6,1,Winter,2,False,1.1666666666666667,0.0,0.0,0.0,0.0,
2025-01-01,7,1,Winter,2,False,1.3333333333333333,0.0,0.0,0.0,0.0,
2025-01-01,8,1,Winter,2,False,1.5,0.0,0.0,0.0,0.0,
2025-01-01,9,1,Winter,2,False,1.6666666666666667,0.0,0.0,0.0,0.0,
2025-01-01,10,1,Winter,2,False,1.8333333333333333,0.0,0.0,0.0,0.0,
2025-01-01,11,1,Winter,2,False,2.0,0.0,0.0,0.0,0.0,
2025-01-01,12,1,Winter,2,False,2.1666666666666665,0.0,0.0,0.0,0.0,
2025-01-01,13,1,Winter,2,False,2.3333333333333335,0.0,0.0,0.0,0.0,
2025-01-01,14,1,Winter,2,False,2.5,0.0,0.0,0.0,0.0,
2025-01-01,15,1,Winter,2,False,2.6666666666666665,0.0,0.0,0.0,0.0,
2025-01-01,16,1,Winter,2,False,2.8333333333333335,0.0,0.0,0.0,0.0,
2025-01-01,17,1,Winter,2,False,3.0,0.0,0.0,0.0,0.0,
2025-01-01,18,1,Winter,2,False,3.1666666666666665,0.0,0.0,0.0,0.0,
2025-01-01,19,1,Winter,2,False,3.3333333333333335,0.0,0.0,0.0,0.0,
2025-01-01,20,1,Winter,2,False,3.5,0.0,0.0,0.0,0.0,
2025-01-01,21,1,Winter,2,False,3.6666666666666665,0.0,0.0,0.0,0.0,
2025-01-01,22,1,Winter,2,False,3.8333333333333335,0.0,0.0,0.0,0.0,
2025-01-01,23,1,Winter,2,False,4.0,0.0,0.0,0.0,0.0,
2025-01-01,24,1,Winter,2,False,4.166666666666667,0.0,0.0,0.0,0.0,
2025-01-01,25,1,Winter,2,False,4.333333333333333,0.0,0.0,0.0,0.0,
2025-01-01,26,1,Winter,2,False,4.5,0.0,0.0,0.0,0.0,
