date,target_slot,issue_date,issue_time,lead_time_hours,pv_forecast_op_kW
2025-01-01,5,2025-01-01,00:00:00,1.0,0.0
2025-01-01,6,2025-01-01,00:00:00,1.1666666666666667,0.0
2025-01-01,7,2025-01-01,00:00:00,1.3333333333333333,0.0
2025-01-01,8,2025-01-01,00:00:00,1.5,0.0
2025-01-01,9,2025-01-01,00:00:00,1.6666666666666667,0.0
2025-01-01,10,2025-01-01,00:00:00,1.8333333333333333,0.0
2025-01-01,11,2025-01-01,00:00:00,2.0,0.0
2025-01-01,12,2025-01-01,00:00:00,2.1666666666666665,0.0
2025-01-01,13,2025-01-01,00:00:00,2.3333333333333335,0.0
2025-01-01,14,2025-01-01,00:00:00,2.5,0.0
2025-01-01,15,2025-01-01,00:00:00,2.6666666666666665,0.0
2025-01-01,16,2025-01-01,00:00:00,2.8333333333333335,0.0
2025-01-01,17,2025-01-01,00:00:00,3.0,0.0
2025-01-01,18,2025-01-01,00:00:00,3.1666666666666665,0.0
2025-01-01,19,2025-01-01,00:00:00,3.3333333333333335,0.0
2025-01-01,20,2025-01-01,00:00:00,3.5,0.0
2025-01-01,21,2025-01-01,00:00:00,3.6666666666666665,0.0
2025-01-01,22,2025-01-01,00:00:00,3.8333333333333335,0.0
2025-01-01,23,2025-01-01,00:00:00,4.0,0.0
2025-01-01,24,2025-01-01,00:00:00,4.166666666666667,0.0
2025-01-01,25,2025-01-01,00:00:00,4.333333333333333,0.0
2025-01-01,26,2025-01-01,00:00:00,4.5,0.0
2025-01-01,27,2025-01-01,00:00:00,4.666666666666667,0.0
2025-01-01,28,2025-01-01,00:00:00,4.833333333333333,0.0
2025-01-01,29,2025-01-01,00:00:00,5.0,0.0
2025-01-01,30,2025-01-01,00:00:00,5.166666666666667,0.0
2025-01-01,31,2025-01-01,00:00:00,5.333333333333333,0.0
2025-01-01,32,2025-01-01,00:00:00,5.5,0.0
2025-01-01,33,2025-01-01,00:00:00,5.666666666666667,0.0
2025-01-01,34,2025-01-01,00:00:00,5.833333333333333,0.0
2025-01-01,35,2025-01-01,00:00:00,6.0,0.0
2025-01-01,36,2025-01-01,00:00:00,6.166666666666667,0.51955
2025-01-01,37,2025-01-01,00:00:00,6.333333333333333,1.0391
2025-01-01,38,2025-01-01,00:00:00,6.5,1.55865
2025-01-01,39,2025-01-01,00:00:00,6.666666666666667,2.0782
2025-01-01,40,2025-01-01,00:00:00,6.833333333333333,2.5977500000000004
2025-01-01,41,2025-01-01,06:00:00,1.0,3.0919
2025-01-01,42,2025-01-01,06:00:00,1.1666666666666667,267.3739
2025-01-01,43,2025-01-01,06:00:00,1.3333333333333333,531.6559
2025-01-01,44,2025-01-01,06:00:00,1.5,795.9379
2025-01-01,45,2025-01-01,06:00:00,1.6666666666666667,1060.2198999999998
