lam,total,pur,adj,em,emk,curt,e_end_med,floor,ceil
0.0,13419154.97457605,12571173.87416279,384459.51935023547,463521.5810630253,94041.4256653061,1443726.2921861722,1425.0106171944435,39,0
0.1,13419208.62562947,12571236.99194751,384450.05261893524,463521.5810630254,94041.42566530612,1443819.2677245124,1425.0106171944449,39,0
0.2,13419208.62562947,12571236.99194751,384450.05261893524,463521.5810630254,94041.42566530613,1443819.2677245124,1425.0106171944449,39,0
0.3,13419208.62562947,12571236.99194751,384450.0526189351,463521.5810630253,94041.4256653061,1443819.2677245124,1425.010617194443,39,0
0.4,13419208.62562947,12571236.99194751,384450.0526189351,463521.5810630253,94041.4256653061,1443819.2677245124,1425.010617194443,39,0
0.45,13383402.488765921,12569693.797117319,384075.9316034581,429632.76004514506,78210.98358756564,1448046.960660689,2147.852108962961,6,0
0.5,13485672.690856045,12677044.609217849,382862.4601583129,425765.6214798819,75091.27829925914,1591564.8658339442,10800.0,0,203
0.55,13485785.210484592,12677043.744834412,382975.5924839687,425765.87316621083,75091.31437814803,1591572.6483073325,10800.0,0,203
0.6,13485676.964297518,12677046.645525593,382864.445605713,425765.87316621083,75091.31437814803,1591565.9712200551,10800.0,0,203
0.69,13485676.696712302,12677046.110355161,382864.71319092996,425765.87316621083,75091.31437814803,1591565.9712200551,10800.0,0,203
0.8,13485676.696712302,12677046.110355161,382864.71319092996,425765.8731662109,75091.31437814803,1591565.9712200551,10800.0,0,203
