month,days,load_sum_mean,load_sum_std,pv_sum_mean,pv_sum_std,price_mean,price_std,forecast_mae_mean,shortage_mean,curtailment_mean
1,31,113418.56325967742,21018.726712015607,38140.413464516125,2455.5819415661804,0.8596107750896058,0.36445757458751116,129.47696971537184,77280.12034462365,0.0
2,28,108405.51660773809,20954.960896213528,47195.52831964286,4099.312941877372,0.7695711805555555,0.3084538406998652,148.04670275962567,66168.78944702381,0.0
3,31,104536.77588978494,21038.20698069951,55300.7221327957,4935.000401093126,0.7255331989247311,0.3025659697406064,156.7758740201518,58386.88465967742,15.941506989247324
4,30,105431.44317722222,20534.846161921865,64840.45654388889,3778.269188801411,0.698846412037037,0.29451703421592207,173.42663927072832,53745.02792277778,125.28753388888889
5,31,105640.26606451614,21666.40210798461,67356.0575172043,2683.793745894504,0.6912003360215054,0.2958941714584385,178.00237781578912,52286.801026881716,66.78821290322583
6,30,115208.94310666666,20630.657886672583,56875.83756722222,3054.685184863522,0.7662756712962964,0.30501595014142063,167.91030072957165,63923.78406277777,0.0
7,31,128094.2077456989,20215.477661391298,65358.1026,2517.155747935466,0.8300811827956989,0.3578976105565484,175.2494730686225,70502.73696344085,0.8777166666666558
8,31,121084.2492080645,21628.991367613045,69983.83423172042,3056.699892504754,0.7864659722222221,0.35886840821575616,172.73560861792208,65236.867986021505,92.75159569892472
9,30,108861.85038777777,20583.11145492338,62582.38814611111,3969.0064617671314,0.7202801851851852,0.3100902312776474,176.47000995430386,59230.72338722222,139.95450722222225
10,31,104328.46779193547,21049.235361375842,56743.51324247312,4960.534746133922,0.7202710573476703,0.30594123925029476,180.0492611073368,59291.64122204301,92.66645967741935
11,30,104104.11232055556,21276.94982312085,44505.03205444444,3259.6162394284024,0.7610268287037038,0.31265356986915,144.5013083542786,65061.03369611111,0.0
12,31,112591.34150860214,20311.299015964894,36332.085501075264,1082.2574938971404,0.8617168234767024,0.3676848188973454,117.9990651070268,77708.17248333333,0.0
