group,label,plan_cost,em_cost,total_cost,em_kWh,plan_kWh,curt_kWh
执行机制,僵硬执行（无日内平衡）,13325159.256310018,1211786.4390274123,14536945.69533743,313635.1039213889,21829924.016468983,2910339.2429497615
执行机制,因果实时平衡（采用）,13193678.656115834,484686.72136995615,13678365.37748579,85605.01026387808,21523497.309170004,2468021.6778923715
执行机制,事后最优再调度（下界）,13325024.80659128,327445.2271032797,13652470.03369456,90733.51787227418,21829610.052635647,2735604.5100611425
计划依据,同类日负荷+近4日光伏（采用）,13193678.656115834,484686.72136995615,13678365.37748579,85605.01026387808,21523497.309170004,2468021.6778923715
计划依据,同星期几,13320048.600688066,950024.8792907775,14270073.479978845,159815.2451698312,21659561.297351576,2691760.005869462
计划依据,昨日外推,14079246.900080048,7439418.879715699,21518665.779795747,1410813.992197651,22694064.332585998,5142954.536946502
计划依据,附件1 典型日,15204781.476410497,1973363.6979937968,17178145.174404293,335282.94995275437,24177912.315976564,5504625.854480566
计划方法,无裕度（点预测）,12194979.245843329,2738150.69166753,14933129.93751086,466511.3770888732,20076635.840133686,1376477.9656816754
计划方法,两阶段随机规划 SAA,12761906.87719212,1097170.9289621247,13859077.806154244,189929.6173194382,20701903.385991715,1743801.145268718
储能,无储能,17358607.703986004,874834.8947950954,18233442.598781098,217646.35792138867,22186953.994113315,4465410.85706806
