date,slot,P_plan_kW,P_em_kW,P_ch_kW,P_dis_kW,E_kWh,P_curt_kW,load_forecast_kW,pv_forecast_kW,load_actual_kW,pv_actual_kW,price
2025-02-01,0,7477.112816666667,0.0,0.0,0.0,6000.0,4944.9306166666665,2683.68735,0.0,2532.1822,0.0,0.4248
2025-02-01,1,7492.9413583333335,0.0,0.0,0.0,6000.0,5000.497458333333,2719.6209249999997,0.0,2492.4439,0.0,0.4245
2025-02-01,2,7539.762500000001,0.0,0.0,0.0,6000.0,5075.462500000001,2762.1625000000004,0.0,2464.3,0.0,0.4269
2025-02-01,3,7629.389766666667,0.0,933.0031317901073,0.0,6000.0,4114.61783487656,2740.6239,0.0,2581.7688,0.0,0.4272
2025-02-01,4,7761.387191666667,0.0,5000.0,0.0,6139.950469768516,214.92369166666685,2762.793525,0.0,2546.4635,0.0,0.4271
2025-02-01,5,3044.69,0.0,0.0,0.0,6889.950469768516,608.3800000000001,2855.34,0.0,2436.31,0.0,0.4285
2025-02-01,6,2986.361641666666,0.0,365.860541666666,0.0,6889.950469768516,0.0,2917.6482749999996,0.0,2620.5011,0.0,0.4311
2025-02-01,7,3025.2886416666665,0.0,314.50254166666673,0.0,6944.829551018516,0.0,2855.874575,0.0,2710.7861,0.0,0.4302
2025-02-01,8,3500.29976666666,0.0,823.8197666666601,0.0,6992.004932268516,0.0,2776.3199999999997,0.0,2676.48,0.0,0.4279
2025-02-01,9,2894.6286499999997,0.0,64.0306499999997,0.0,7115.577897268516,0.0,2884.21865,0.0,2830.598,0.0,0.4312
2025-02-01,10,2994.9656333333332,0.0,306.80983333333324,0.0,7125.182494768515,0.0,2999.5692,0.0,2688.1558,0.0,0.4333
2025-02-01,11,3177.839166666667,0.0,793.419166666667,0.0,7171.203969768515,0.0,3009.2025000000003,0.0,2384.42,0.0,0.4311
2025-02-01,12,2879.0895166666674,0.0,274.54571666666743,0.0,7290.216844768515,0.0,2975.4806500000004,0.0,2604.5438,0.0,0.4293
2025-02-01,13,2709.5939916666666,0.0,0.0,233.77150833333326,7331.398702268515,0.0,2996.1562249999997,0.0,2943.3655,0.0,0.4324
2025-02-01,14,3083.145,0.0,63.82499999999982,0.0,7288.107682206787,0.0,3050.7050000000004,0.0,3019.32,0.0,0.4367
2025-02-01,15,2937.4929000000006,0.0,93.0560000000005,0.0,7297.681432206787,0.0,3042.7092000000002,0.0,2844.4369,0.0,0.4348
2025-02-01,16,3048.1026250000004,0.0,279.7962250000005,0.0,7311.639832206787,0.0,3067.1025250000002,0.0,2768.3064,0.0,0.4335
2025-02-01,17,3250.3583333333336,0.0,388.7083333333335,0.0,7353.609265956788,0.0,3124.575,0.0,2861.65,0.0,0.4357
2025-02-01,18,3146.2216499999995,0.0,245.8243499999994,0.0,7411.915515956787,0.0,3118.9612500000003,0.0,2900.3973,0.0,0.4374
2025-02-01,19,3054.4759416666666,0.0,134.8644416666666,0.0,7448.789168456787,0.0,3133.8356750000003,0.0,2919.6115,0.0,0.4371
2025-02-01,20,3112.8366666666675,0.0,119.74666666666735,0.0,7469.018834706787,0.0,3147.52,0.0,2993.09,0.0,0.4356
2025-02-01,21,3087.752583333333,0.0,0.0,22.105816666667124,7486.980834706787,0.0,3069.43325,0.0,3109.8584,0.0,0.4353
2025-02-01,22,3166.4513749999996,0.0,111.65057499999966,0.0,7482.8871649537,0.0,3124.505075,0.0,3054.8008,0.0,0.436
2025-02-01,23,3288.088333333333,0.0,386.3883333333333,0.0,7499.6347512037,0.0,3255.715,0.0,2901.7,0.0,0.4378
2025-02-01,24,3235.5456,0.0,288.4247999999998,0.0,7557.5930012037,0.0,3175.8302,0.0,2947.1208,0.0,0.4401
