date,start_slot,end_slot,时间段,紧急购电量
2025-02-05,47,47,7:50-8:00,26.479583333333494
2025-02-06,47,48,7:50-8:10,54.767033333333416
2025-02-16,62,64,10:20-10:50,304.7527642750032
2025-02-18,36,36,6:00-6:10,3.015778333333401
2025-02-19,38,38,6:20-6:30,40.97941666666691
2025-02-20,36,36,6:00-6:10,14.486336666666602
2025-02-25,35,35,5:50-6:00,9.318333333333157
2025-02-25,38,38,6:20-6:30,8.474645833333284
2025-02-26,38,38,6:20-6:30,14.699479166666492
2025-02-27,57,60,9:30-10:10,450.77054221666464
2025-03-02,121,123,20:10-20:40,1625.322883816662
2025-03-03,123,125,20:30-21:00,336.63998497499574
2025-03-03,129,130,21:30-21:50,14.534472691666473
2025-03-03,134,136,22:20-22:50,33.10722550833335
2025-03-05,35,35,5:50-6:00,3.286666666666747
2025-03-10,59,61,9:50-10:20,149.56627767499924
2025-03-10,123,123,20:30-20:40,54.07599384167088
2025-03-13,62,64,10:20-10:50,161.02542211666378
2025-03-13,123,124,20:30-20:50,666.0819164750043
2025-03-16,35,35,5:50-6:00,1.6400000000001
2025-03-18,56,59,9:20-10:00,205.04700027499976
2025-03-20,123,123,20:30-20:40,162.42942594999738
2025-03-31,123,123,20:30-20:40,14.546866531380033
2025-03-31,125,125,20:50-21:00,19.85785861666662
2025-04-01,122,124,20:20-20:50,950.8194598000036
2025-04-02,51,61,8:30-10:20,1963.8605416666685
2025-04-08,53,57,8:50-9:40,208.41298916666423
2025-04-08,123,123,20:30-20:40,112.42628188333197
2025-04-08,127,128,21:10-21:30,11.57951815833322
2025-04-09,123,124,20:30-20:50,336.6561634250073
2025-04-10,123,124,20:30-20:50,43.36786431666958
2025-04-27,123,123,20:30-20:40,308.1372283000008
2025-04-28,56,58,9:20-9:50,171.83777468332823
2025-04-28,117,120,19:30-20:10,2537.1375768416647
2025-04-28,122,125,20:20-21:00,1466.1747062
2025-04-29,123,123,20:30-20:40,10.173273374997393
2025-05-01,54,54,9:00-9:10,33.18118557499994
2025-05-01,120,141,20:00-23:40,2399.0267916666658
2025-05-02,122,142,20:20-23:50,2304.300404166666
2025-05-03,123,131,20:30-22:00,913.7045358333329
2025-05-03,135,135,22:30-22:40,2.76019930833329
2025-05-03,139,140,23:10-23:30,55.269273358333436
2025-05-03,143,143,23:50-24:00,7.049045425000006
2025-05-04,0,1,0:00-0:20,6.37087583333323
2025-05-04,112,112,18:40-18:50,5.9969500000000835
2025-05-04,123,133,20:30-22:20,798.6634700999994
2025-05-04,135,136,22:30-22:50,17.189141666666664
2025-05-04,138,139,23:00-23:20,46.42303166666656
2025-05-04,142,142,23:40-23:50,5.948738333333086
2025-05-05,51,56,8:30-9:30,464.96453106666587
2025-05-05,123,123,20:30-20:40,190.44196598333224
2025-05-05,141,141,23:30-23:40,1.138746216666489
2025-05-06,137,137,22:50-23:00,13.351623008331792
2025-05-09,124,125,20:40-21:00,32.17078418333285
2025-05-09,127,128,21:10-21:30,50.74471000000017
2025-05-11,112,112,18:40-18:50,14.848476666666897
2025-05-11,116,116,19:20-19:30,27.561666666666724
2025-05-18,122,122,20:20-20:30,5.236666666666679
2025-05-19,121,122,20:10-20:30,72.27683333333357
2025-05-29,115,115,19:10-19:20,17.817433333333383
2025-06-01,56,65,9:20-11:00,1450.3667733587467
2025-06-01,113,136,18:50-22:50,8690.99513145
2025-06-01,138,143,23:00-24:00,518.1002391666665
2025-06-02,113,113,18:50-19:00,2.8738333333334367
2025-06-02,115,116,19:10-19:30,80.91621833333352
2025-06-02,118,143,19:40-24:00,4884.2658307833335
2025-06-03,58,61,9:40-10:20,296.5295094583301
2025-06-03,113,114,18:50-19:10,42.00379166666676
2025-06-03,117,118,19:30-19:50,139.6259666666665
2025-06-03,122,123,20:20-20:40,198.52010744999973
2025-06-03,129,132,21:30-22:10,136.70852258333355
2025-06-03,134,134,22:20-22:30,8.10690169166653
2025-06-03,137,138,22:50-23:10,74.77461577500006
2025-06-03,142,143,23:40-24:00,46.42050437499981
2025-06-04,118,118,19:40-19:50,8.4387233333332
2025-06-04,123,123,20:30-20:40,28.98553250000009
2025-06-05,113,114,18:50-19:10,21.36201249999999
2025-06-05,120,120,20:00-20:10,6.729151666666667
2025-06-06,39,45,6:30-7:40,730.1125300916673
2025-06-06,118,123,19:40-20:40,3391.011356666663
2025-06-06,125,142,20:50-23:50,1094.1494251583335
2025-06-07,2,13,0:20-2:20,355.9957166666665
2025-06-07,122,124,20:20-20:50,1203.244938024999
2025-06-07,129,137,21:30-23:00,303.0289039500001
2025-06-07,140,143,23:20-24:00,194.8701999166663
2025-06-09,122,122,20:20-20:30,2.7136666666665406
2025-06-11,59,64,9:50-10:50,715.3706221083353
2025-06-13,123,125,20:30-21:00,173.47018347499898
2025-06-17,122,122,20:20-20:30,10.022750000000087
2025-06-19,115,116,19:10-19:30,41.16583333333335
2025-06-22,118,118,19:40-19:50,0.641787499999964
2025-06-24,58,64,9:40-10:50,1322.0928640749964
2025-06-24,123,124,20:30-20:50,386.234720758331
2025-06-26,114,115,19:00-19:20,37.37581249999994
2025-06-26,118,118,19:40-19:50,9.88506833333372
2025-06-30,117,117,19:30-19:40,18.035769166666682
2025-07-01,15,22,2:30-3:50,559.0242937699594
2025-07-01,113,120,18:50-20:10,490.89585916666704
2025-07-01,122,143,20:20-24:00,1986.7974751083268
2025-07-02,0,16,0:00-2:50,795.1634666666661
2025-07-02,113,116,18:50-19:30,197.33746166666663
2025-07-02,118,120,19:40-20:10,236.38773666666634
2025-07-02,122,127,20:20-21:20,399.9537516666637
2025-07-02,132,133,22:00-22:20,217.53221833333313
2025-07-02,135,141,22:30-23:40,328.3849474999998
2025-07-03,0,4,0:00-0:50,243.08851801666668
2025-07-03,6,10,1:00-1:50,122.5426124999998
2025-07-03,13,13,2:10-2:20,17.567174074999933
2025-07-03,113,113,18:50-19:00,25.323687500000005
2025-07-03,117,117,19:30-19:40,5.0699050000000625
2025-07-03,119,119,19:50-20:00,8.272749999999974
2025-07-03,122,124,20:20-20:50,579.3012136166635
2025-07-03,126,134,21:00-22:30,295.6954166666664
2025-07-03,138,141,23:00-23:40,60.182134983333306
2025-07-04,4,29,0:40-5:00,1930.2172233999995
2025-07-04,39,43,6:30-7:20,631.704746866665
2025-07-04,121,142,20:10-23:50,3248.801256875002
2025-07-05,0,8,0:00-1:30,359.4063783333329
2025-07-05,13,14,2:10-2:30,107.44746877499983
2025-07-05,16,19,2:40-3:20,182.4576811
2025-07-05,21,29,3:30-5:00,413.5867374999999
2025-07-05,39,44,6:30-7:30,555.9795949166664
2025-07-05,121,130,20:10-21:50,1737.470192500004
2025-07-05,132,134,22:00-22:30,72.11052499999963
2025-07-05,136,143,22:40-24:00,401.0946901083332
2025-07-06,113,113,18:50-19:00,25.094249999999988
2025-07-06,117,118,19:30-19:50,30.81685083333366
2025-07-06,121,123,20:10-20:40,1012.3658204999967
2025-07-06,125,125,20:50-21:00,4.449833416666843
2025-07-09,116,116,19:20-19:30,10.699250000000006
2025-07-11,39,45,6:30-7:40,947.966634124999
2025-07-11,124,128,20:40-21:30,313.17407081666744
2025-07-11,135,136,22:30-22:50,34.79968666666625
2025-07-11,138,138,23:00-23:10,0.8436058333332994
2025-07-14,118,118,19:40-19:50,1.3524183333332758
2025-07-16,120,120,20:00-20:10,19.010364999999865
2025-07-20,123,123,20:30-20:40,2.93230583333343
2025-07-21,123,123,20:30-20:40,2.9177483333335203
2025-07-22,117,117,19:30-19:40,0.5149049999999988
2025-07-29,113,113,18:50-19:00,29.910333333333256
2025-08-03,117,119,19:30-20:00,48.59086083333386
2025-08-05,121,121,20:10-20:20,8.490297500000224
2025-08-06,123,123,20:30-20:40,785.3802358103933
2025-08-07,120,121,20:00-20:20,52.605348333333495
2025-08-10,122,123,20:20-20:40,74.10346750000008
2025-08-11,113,113,18:50-19:00,25.422750000000065
2025-08-11,116,116,19:20-19:30,40.89774999999986
2025-08-12,113,114,18:50-19:10,51.725343333333285
2025-08-12,117,118,19:30-19:50,40.51568083333336
2025-08-12,123,123,20:30-20:40,793.2496158220098
2025-08-13,123,123,20:30-20:40,9.071142500000178
2025-08-14,52,54,8:40-9:10,203.52586567500032
2025-08-14,114,114,19:00-19:10,4.383218333333161
2025-08-14,118,119,19:40-20:00,8.582375833333344
2025-08-14,122,123,20:20-20:40,17.301689999999894
2025-08-17,117,118,19:30-19:50,48.768346666666844
2025-08-17,122,122,20:20-20:30,21.7184166666666
2025-08-18,114,114,19:00-19:10,5.353566666666666
2025-08-18,119,119,19:50-20:00,44.14633333333336
2025-08-18,122,122,20:20-20:30,30.620499999999993
2025-08-19,116,121,19:20-20:20,219.99605333333386
2025-08-20,50,56,8:20-9:30,1372.3956857416667
2025-08-20,120,123,20:00-20:40,929.1780046999985
2025-08-20,125,125,20:50-21:00,16.674189624999805
2025-08-21,123,123,20:30-20:40,8.638448333333486
2025-08-25,115,115,19:10-19:20,3.36527916666671
2025-08-25,122,123,20:20-20:40,153.09930837499485
2025-08-26,118,120,19:40-20:10,18.402771666666922
2025-08-27,113,113,18:50-19:00,10.611083333333227
2025-08-27,120,120,20:00-20:10,5.504612500000121
2025-08-28,113,113,18:50-19:00,4.393833333333305
2025-08-28,119,120,19:50-20:10,55.64445583333338
2025-08-31,121,121,20:10-20:20,14.88645166666663
2025-08-31,123,123,20:30-20:40,20.187662500000215
2025-09-04,118,118,19:40-19:50,24.043678333333332
2025-09-08,122,123,20:20-20:40,903.0404421566909
2025-09-08,130,131,21:40-22:00,23.061018816667143
2025-09-09,117,117,19:30-19:40,2.352616666666563
2025-09-09,121,121,20:10-20:20,9.099616666666748
2025-09-09,123,123,20:30-20:40,149.20947392500238
2025-09-10,53,57,8:50-9:40,516.9911683333318
2025-09-10,121,121,20:10-20:20,1.4966016666666064
2025-09-10,123,123,20:30-20:40,385.0560260749924
2025-09-10,125,125,20:50-21:00,8.324487033333577
2025-09-10,129,130,21:30-21:50,45.311232491666836
2025-09-11,119,119,19:50-20:00,6.071666666666715
2025-09-15,118,118,19:40-19:50,1.1717666666667128
2025-09-16,115,115,19:10-19:20,8.238266666666732
2025-09-17,35,35,5:50-6:00,7.629166666666833
2025-09-18,123,123,20:30-20:40,2.4633999999999787
2025-09-21,112,112,18:40-18:50,8.44500000000005
2025-09-23,110,110,18:20-18:30,1.0833333333333712
