tag,q,plan,em,total,em_kwh,mae_L,mae_PV,note
①基准,,12932582.266458493,915600.5102915132,13848182.77675001,150492.99807340917,137.516049233824,151.94870416094892,论文口径
"②光伏=堆叠, 经验分位缓冲",0.7,12879105.909121392,825651.1061785286,13704757.015299922,135990.12642235408,137.516049233824,136.8491397104649,q=0.7
③负荷=ef3 + 光伏=堆叠,0.7,12893762.333033651,777441.1929877435,13671203.526021395,126891.37849922311,138.6789112225398,136.8491397104649,q=0.7
④GBDT条件分位缓冲 q=0.7,0.7,13015486.610106513,867545.5745303987,13883032.184636913,138666.8167038384,138.6789112225398,136.8491397104649,条件缓冲
④GBDT条件分位缓冲 q=0.75,0.75,13174134.068978388,604209.2247624288,13778343.293740816,97427.88251820821,138.6789112225398,136.8491397104649,条件缓冲
④GBDT条件分位缓冲 q=0.8,0.8,13323248.288880594,458754.78195253847,13782003.070833132,74371.98006930551,138.6789112225398,136.8491397104649,条件缓冲
④GBDT条件分位缓冲 q=0.85,0.85,13521375.962314531,338012.314638293,13859388.276952824,54570.46743954019,138.6789112225398,136.8491397104649,条件缓冲
⑤Q4-2 基准(电价已知),,13564908.596476058,966914.225103607,14531822.821579663,152710.80487049947,137.516049233824,151.94870416094892,论文口径
"⑥Q4-2 负荷ef3+光伏堆叠, 电价已知",,13527129.636741742,819977.9623478588,14347107.599089602,129388.88835742438,138.6789112225398,136.8491397104649,
⑦Q4-2 电价=堆叠预测(结算按实际电价),0.7,13582111.666461175,783072.3318722015,14365183.998333376,124605.05422113302,138.6789112225398,136.8491397104649,电价=堆叠预测
⑦Q4-2 电价=廓线预测(结算按实际电价),0.7,13596160.633319512,783784.0792893565,14379944.71260887,124774.70418976221,138.6789112225398,136.8491397104649,电价=廓线预测
⑧问题三 负荷ef3+光伏堆叠,0.7,13106374.297588672,540898.2673288151,13896489.64849539,86819.63686227254,138.6789112225398,136.8491397104649,含滚动调整
