group,model,mae_kw,rmse_kw,daily_mape
L,基线:近4个同类日均值,137.516049233824,191.58695939080067,1.0599179659240117
L,"指数加权同类日(8日,0.85)",140.45392929175418,196.61286683354393,1.3582185917183407
L,相似日kNN(5个同类日),286.9890600563137,448.4277521884692,4.761602926791024
L,岭回归(逐时段特征),188.58185470883166,283.7241240949684,2.769173977405603
L,LightGBM(逐时段特征),159.32441424868608,259.71263929187893,1.7309273126614555
L,基线+LightGBM残差修正,158.61052107565996,244.65016414315335,1.7609992385935076
L,融合: 0.3×基线+0.7×GBDT残差,146.8207488776703,213.04887834952478,1.4586801400096578
L,融合: 0.5×基线+0.5×GBDT残差,141.09618060211037,198.31269001836222,1.297908159676758
L,融合: 0.7×基线+0.3×GBDT残差,137.45694891817163,190.08042677594872,1.1672678878985057
PV,基线:近4日均值,151.94870416094892,307.32768086576175,3.6355889483883663
PV,附件3 0:00预报,206.64540654662898,388.7782724662937,5.267359428635425
PV,晴空指数模型(近10日k×包络),213.3319689268847,383.99986399338223,3.5305617982020956
PV,基线+LightGBM残差修正,154.3163400581549,312.1773450705668,4.110033070335635
PV,LightGBM(逐时段特征),151.2372670863806,302.56776689950686,4.135250888084585
PV,融合: 0.5×晴空指数+0.5×基线残差GBDT,166.4013288522301,303.54370285776156,3.529517733069544
PV,融合: 0.5×附件3+0.5×(基线残差GBDT),154.44990817806695,300.0123724527257,4.045178982909741
P,已知实时电价(附件4),0.0,0.0,0.0
P,类别×时段廓线+自适应水平,0.22293718873799045,0.31072860620975395,1.7478366612826899
P,岭回归(逐时段特征),0.23066394715746394,0.32636783174665374,2.455937602268625
P,LightGBM(逐时段特征),0.22307697038256002,0.32197548245564495,1.8547790127916797
P,廓线+LightGBM残差修正,0.2398658065030163,0.33876865927379335,2.1603152847521514
